canonical_brand,name,address,latitude,longitude,confidence_score,warnings,osm_type,osm_id,source,is_duplicate,reverse_status,reverse_address,reverse_display_name,reverse_city,reverse_district,reverse_suburb,reverse_street,reverse_house_number,reverse_postcode,reverse_osm_type,reverse_osm_id,reverse_error
Пятёрочка,Пятёрочка,"Санкт-Петербург, улица Тамбасова, 32",59.8285718,30.1565101,0.5,REVERSE_GEOCODED,node,672653447,osm_pbf,False,found,"Санкт-Петербург, улица Тамбасова, 32","Пятёрочка, 32, улица Тамбасова, округ Константиновское, Санкт-Петербург, Северо-Западный федеральный округ, 198259, Россия",Санкт-Петербург,,,улица Тамбасова,32,198259,node,672653447,
Реалъ,РеалЪ,22 к2,59.9033459,30.2201925,0.5,REVERSE_GEOCODED,node,701604259,osm_pbf,False,found,22 к2,"РеалЪ, 22 к2, Канонерский остров, округ Морские ворота, Санкт-Петербург, Северо-Западный федеральный округ, 198184, Россия",,округ Морские ворота,,,22 к2,198184,node,701604259,
Лента,Дом Лента,"Порошкино, 1",60.0900999,30.3827723,0.3,REVERSE_GEOCODED,node,720732745,osm_pbf,False,found,"Порошкино, 1","Дом Лента, 1, Порошкино, Бугровское городское поселение, Всеволожский район, Ленинградская область, Северо-Западный федеральный округ, 188660, Россия",Порошкино,Всеволожский район,,,1,188660,node,720732745,
Пятёрочка,торговый центр «Пятерочка»,"Красное Село, Стрельнинское шоссе",59.7459036,30.0916274,0.1,SHOP_TAG_MISSING;REVERSE_GEOCODED,node,727776023,osm_pbf,False,found,"Красное Село, Стрельнинское шоссе","торговый центр «Пятерочка», Стрельнинское шоссе, Скачки, Красное Село, Санкт-Петербург, Северо-Западный федеральный округ, 198320, Россия",Красное Село,,Скачки,Стрельнинское шоссе,,198320,node,727776023,
ВкусВилл,ВкусВилл,"Санкт-Петербург, Прибрежная улица, 20",59.8324421,30.5063395,0.5,REVERSE_GEOCODED,node,775650456,osm_pbf,False,found,"Санкт-Петербург, Прибрежная улица, 20","ВкусВилл, 20, Прибрежная улица, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192177, Россия",Санкт-Петербург,,Рыбацкое,Прибрежная улица,20,192177,node,775650456,
Пятёрочка,Пятёрочка,"Санкт-Петербург, Караваевская улица, 24 к1",59.8329921,30.5070632,0.5,REVERSE_GEOCODED,node,775657521,osm_pbf,False,found,"Санкт-Петербург, Караваевская улица, 24 к1","Пятёрочка, 24 к1, Караваевская улица, Рыбацкое, округ Рыбацкое, Санкт-Петербург, Северо-Западный федеральный округ, 192177, Россия",Санкт-Петербург,,Рыбацкое,Караваевская улица,24 к1,192177,node,775657521,
ВкусВилл,ВкусВилл,"Санкт-Петербург, Вёсельная улица, 7/10",59.9304573,30.2448581,0.1,SHOP_TAG_MISSING;REVERSE_GEOCODED,node,799905326,osm_pbf,False,found,"Санкт-Петербург, Вёсельная улица, 7/10","7/10, Вёсельная улица, Гавань, округ Гавань, Санкт-Петербург, Северо-Западный федеральный округ, 199106, Россия",Санкт-Петербург,округ Гавань,Гавань,Вёсельная улица,7/10,199106,relation,15914051,
Пятёрочка,Пятёрочка,"площадь Ленина, 8/8",59.9569766,30.3550403,0.9,,node,806913457,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
Реалъ,РеалЪ,"Санкт-Петербург, Боткинская улица, 15 к1",59.9589439,30.3496178,0.5,REVERSE_GEOCODED,node,806959127,osm_pbf,False,found,"Санкт-Петербург, Боткинская улица, 15 к1","РеалЪ, 15 к1, Боткинская улица, Выборгская сторона, округ Сампсониевское, Санкт-Петербург, Северо-Западный федеральный округ, 194044, Россия",Санкт-Петербург,округ Сампсониевское,Выборгская сторона,Боткинская улица,15 к1,194044,node,806959127,
Пятёрочка,Пятёрочка,"Богатырский проспект, 66 к1",60.0065532,30.1986593,0.9,,node,818552352,osm_pbf,False,skipped_existing_address,,,,,,,,,,,
